token,mean_interest
son,87.308
print,85.791
case,85.044
life,84.67
boyfriend,84.275
know,84.242
pick,84.198
security,83.901
without,83.868
cities,83.385
doctors,83.363
original,83.198
auto,83.176
sweets,83.121
whole,82.692
jail,82.429
source,82.33
stack,81.967
chase,81.516
sleep,81.308
chain,81.176
roll,81.011
record,80.879
settings,80.538
version,79.659
hills,79.582
pay,79.066
farm,78.736
say,78.714
community,78.648
goes,78.44
average,78.187
hard,78.143
types,77.978
row,77.901
private,77.505
repair,76.044
bedroom,75.868
ever,74.725
draw,74.626
department,74.286
need,74.275
degree,74.242
think,74.055
traditional,73.473
consent,72.89
release,72.637
area,72.209
show,72.066
stone,72.011
vacuum,70.385
true,70.352
flight,69.956
stores,69.758
located,69.396
deal,69.198
restaurants,69.077
pharmacy,68.901
square,67.495
guys,67.484
dates,67.473
mattress,67.462
weather,67.165
hook,67.066
games,66.967
die,66.791
cheat,66.67
played,66.626
travel,66.231
visiting,64.901
story,64.418
random,64.396
baked,64.187
would,64.0
break,63.978
tail,63.791
method,62.659
wild,62.659
ten,62.626
village,62.033
cold,61.692
stories,61.44
reservations,59.604
attack,59.209
visible,57.549
tap,57.341
remove,57.088
yellow,56.407
remote,54.89
want,54.451
years,54.396
arrest,53.505
electricity,53.154
goods,52.648
corporate,52.264
serve,51.22
heaven,50.121
ton,49.582
live,49.418
escape,49.209
died,49.198
bring,48.429
dead,48.231
basement,48.099
bite,47.934
caps,47.505
camping,47.385
duck,47.253
balls,45.791
stay,45.648
cause,45.275
speak,45.231
ridge,45.176
buying,44.297
nice,44.154
rare,44.099
tricks,43.319
works,43.0
create,42.868
common,42.615
bitten,42.495
sense,42.352
blenders,40.934
downtown,39.802
guns,39.099
save,38.418
via,38.22
alien,38.066
conditions,37.571
therapy,37.132
friendly,36.418
kingdom,35.758
babies,35.451
gloves,35.165
become,34.846
standard,34.626
leave,34.352
airplane,34.022
evolution,33.363
thinking,33.0
bleeding,32.582
shooting,32.495
apart,32.473
whiskey,32.352
ceo,32.231
capacity,32.099
swallows,31.945
cleaners,31.33
variety,30.901
compared,30.835
sing,30.703
extended,30.637
world,29.967
purpose,29.802
smart,29.747
ill,29.725
victorian,29.429
grilled,29.407
flat,29.385
okay,29.286
tide,29.165
beings,28.736
deliver,28.714
jump,28.407
viking,28.22
bulb,27.802
usher,27.78
liquor,27.736
traffic,27.363
drew,26.747
happen,26.659
bigger,26.615
studying,26.253
explain,26.077
jungle,25.396
regular,25.154
tanning,25.066
chamber,24.319
condition,23.275
suggests,23.154
task,23.154
move,22.341
suspects,22.121
apple,21.495
tested,21.451
weapon,21.418
bright,21.363
split,21.352
fighting,21.033
thirsty,20.374
learn,20.286
planes,19.747
wrong,19.736
documents,19.648
beast,19.549
let,18.802
skating,18.78
manage,18.648
eaten,18.484
bulls,18.473
follow,18.473
drone,18.275
used,18.11
elephants,17.934
solid,17.813
creatures,17.758
television,17.516
considering,17.505
dolphin,17.418
friends,17.33
patio,16.967
fact,16.868
pierce,16.78
science,16.692
ringing,16.648
melting,16.538
always,16.198
give,15.835
costume,15.747
directly,15.352
attach,15.165
protect,14.802
trap,14.747
lot,14.703
known,14.648
receiving,14.341
affairs,14.341
afraid,14.297
wasteland,14.088
apples,14.077
poor,13.758
twist,13.418
breathing,13.308
offices,13.231
plains,13.22
liquid,13.011
complex,12.868
grown,12.264
outdoors,12.231
weird,12.121
less,12.044
backwards,12.022
within,11.989
prince,11.967
realistic,11.967
hive,11.725
beds,11.571
residential,11.495
carries,11.396
bathrooms,11.286
fresh,11.165
swords,11.132
site,11.11
choose,10.659
pockets,10.626
asylum,10.297
mirage,10.286
tsa,10.055
allowed,10.055
castles,10.044
protective,9.978
reality,9.967
decide,9.923
jumping,9.879
officers,9.407
caused,9.363
tale,9.341
tangled,9.22
carried,9.011
facility,9.011
neighbors,8.945
vaccum,8.879
batting,8.879
tired,8.857
interested,8.802
holes,8.769
conduct,8.747
roles,8.681
surprising,8.571
testimony,8.418
