token,mean_interest
rooftop,8.363
dealing,8.022
worker,7.978
scream,7.912
creepy,7.868
nightclub,7.846
behaving,7.846
soldiers,7.835
thicker,7.78
shape,7.769
grills,7.725
blank,7.396
forced,7.22
taller,7.187
sort,7.088
pair,6.934
cage,6.857
emoticon,6.681
managing,6.626
whatever,6.582
paying,6.473
tandem,6.429
really,6.429
vertically,6.396
bunk,6.352
thumbs,6.022
dragons,5.978
arrangement,5.945
freedom,5.879
shoulders,5.714
captive,5.681
clone,5.516
wears,5.385
speeches,5.352
woodlands,5.319
mentally,5.308
survive,5.242
attention,5.099
laboratory,5.077
strange,5.0
someones,4.923
lending,4.901
driven,4.835
hatch,4.824
animated,4.747
celestial,4.725
gator,4.681
since,4.615
sticking,4.462
composed,4.451
tubs,4.319
brought,4.22
even,4.022
shaft,4.0
shredding,3.989
ruler,3.857
psychologist,3.824
safely,3.791
elevators,3.769
worry,3.626
newly,3.549
suffering,3.407
danger,3.374
climb,3.297
tossed,3.275
steep,3.231
sailing,3.176
appreciate,3.154
fairly,3.143
remain,3.121
psychiatry,3.066
analyzing,3.0
replicas,2.945
attend,2.923
shaking,2.901
fable,2.89
caves,2.791
testify,2.648
bathtubs,2.582
behead,2.571
pathway,2.549
crossings,2.527
destruction,2.505
shining,2.484
described,2.484
shared,2.231
congregate,2.187
dwelling,2.176
workspace,2.154
exactly,2.11
turtleneck,2.077
confiscated,2.033
sorting,2.033
anywhere,2.011
overly,2.0
threw,2.0
collars,1.989
bakeries,1.978
productive,1.945
resemble,1.901
spacecraft,1.846
experimental,1.769
communicating,1.681
depicted,1.67
sentient,1.626
wink,1.626
differently,1.604
seldom,1.582
pyramids,1.582
invited,1.505
stood,1.505
alleys,1.429
rendering,1.407
deers,1.396
wish,1.374
creep,1.374
battling,1.297
virtually,1.275
tend,1.264
supervise,1.253
committed,1.253
radiators,1.187
depending,1.154
zoos,1.143
despite,1.143
exploded,1.121
mountainside,1.11
happily,1.088
uncanny,1.088
probably,1.077
displayed,1.055
snails,1.055
scaling,1.044
sorts,1.033
weakly,1.033
dangerously,1.0
psychiatrists,1.0
sinai,1.0
conversations,1.0
unlawful,1.0
paperwork,1.0
roo,1.0
chameleons,1.0
mythical,1.0
stab,1.0
stacking,1.0
sketchy,0.989
troughs,0.989
oneself,0.967
considerably,0.945
especially,0.923
defying,0.912
hammocks,0.912
auditorium,0.868
colder,0.857
disruptive,0.835
walkway,0.835
depict,0.78
behave,0.747
toasters,0.725
dramatically,0.681
sisyphus,0.429
nowhere,0.374
woolly,0.319
contained,0.242
destitute,0.231
toasts,0.209
recital,0.198
understand,0.176
exaggerated,0.165
potted,0.11
somewhat,0.11
appropriately,0.099
cyclists,0.088
stashed,0.055
diagnosing,0.044
generals,0.033
hoodlum,0.033
prehistoric,0.022
climates,0.022
scaring,0.022
snowfield,0.022
cinderblock,0.011
joust,0.011
interrogation,0.011
whales,0.011
centaurs,0.0
somehow,0.0
chomping,0.0
resataurant,0.0
sopping,0.0
genies,0.0
perpetuate,0.0
hallucination,0.0
commonplace,0.0
ktichen,0.0
heavan,0.0
hitchhikers,0.0
anachronistic,0.0
alleyway,0.0
inanimate,0.0
groomsman,0.0
waists,0.0
consuming,0.0
sandboxes,0.0
boardroom,0.0
briefcases,0.0
disheveled,0.0
refraining,0.0
turmoil,0.0
rowboat,0.0
beehives,0.0
ufos,0.0
throneroom,0.0
ungainly,0.0
unsusual,0.0
terrorize,0.0
beaming,0.0
cannonballing,0.0
severely,0.0
egotistical,0.0
barbecues,0.0
posing,0.0
polite,0.0
plummeting,0.0
signifies,0.0
playpens,0.0
costumer,0.0
